epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.7138,2.10347,5.16584,1.6636,0.86688,0.11982,0.29057,0.16702,1.34083,3.88991,1.21061,0.000366435,0.000366435,0.000366435
2,69.6141,1.59649,3.25206,1.33047,0.45821,0.68498,0.55935,0.35751,1.32566,2.01208,1.25412,0.000729474,0.000729474,0.000729474
3,96.3266,1.49466,2.49139,1.2854,0.73625,0.66416,0.74174,0.44526,1.34199,1.50126,1.24091,0.00108518,0.00108518,0.00108518
4,124.126,1.4471,2.03278,1.24867,0.56709,0.63845,0.62567,0.38424,1.42333,1.513,1.36888,0.001078,0.001078,0.001078
5,156.459,1.36744,1.69999,1.2093,0.84525,0.65479,0.81059,0.46013,1.5315,1.27585,1.43744,0.001067,0.001067,0.001067
6,184.863,1.29714,1.46915,1.17804,0.62091,0.8114,0.83711,0.55387,1.20553,1.34855,1.20499,0.00105601,0.00105601,0.00105601
7,211.559,1.2344,1.30626,1.15831,0.80883,0.79382,0.8624,0.5599,1.17768,1.22823,1.18322,0.00104501,0.00104501,0.00104501
8,238.081,1.20846,1.23639,1.13227,0.83265,0.76687,0.84493,0.57056,1.16737,1.02562,1.18599,0.00103401,0.00103401,0.00103401
9,264.1,1.16476,1.13404,1.11477,0.82891,0.81897,0.90875,0.64485,1.13802,0.99271,1.16564,0.00102301,0.00102301,0.00102301
10,294.608,1.14816,1.07091,1.10722,0.79031,0.83963,0.89388,0.59277,1.13933,0.96553,1.17863,0.00101201,0.00101201,0.00101201
11,324.964,1.10688,0.99185,1.0774,0.84923,0.83117,0.88689,0.60316,1.14779,1.05187,1.17091,0.00100101,0.00100101,0.00100101
12,353.096,1.13248,1.01937,1.08776,0.88456,0.729,0.8772,0.59661,1.22667,0.97084,1.24885,0.000990012,0.000990012,0.000990012
13,379.382,1.08717,0.97006,1.07464,0.92054,0.84846,0.95016,0.68235,1.07491,0.85957,1.1277,0.000979013,0.000979013,0.000979013
14,410.552,1.11205,0.95919,1.09026,0.88174,0.837,0.9384,0.67311,1.04582,0.83851,1.11161,0.000968014,0.000968014,0.000968014
15,438.08,1.05798,0.90105,1.05627,0.88654,0.87858,0.9368,0.66368,1.04216,0.88565,1.09967,0.000957015,0.000957015,0.000957015
16,466.641,1.05812,0.87995,1.05398,0.93373,0.80953,0.92093,0.6671,1.05753,0.85244,1.10066,0.000946016,0.000946016,0.000946016
17,492.223,1.05897,0.86498,1.04861,0.90656,0.86767,0.94392,0.68594,1.0358,0.79032,1.08938,0.000935018,0.000935018,0.000935018
18,519.34,1.04785,0.86252,1.05382,0.81838,0.87492,0.91359,0.64758,0.97725,0.8548,1.07776,0.000924019,0.000924019,0.000924019
19,547.517,1.0131,0.81082,1.0453,0.90276,0.85873,0.95206,0.70698,0.92785,0.72293,1.04221,0.00091302,0.00091302,0.00091302
20,574.188,1.01212,0.81385,1.03769,0.92672,0.86709,0.94056,0.69948,0.9668,0.80475,1.06012,0.000902021,0.000902021,0.000902021
21,602.826,1.00475,0.78633,1.03365,0.92086,0.8581,0.96101,0.71265,0.99844,0.72338,1.06857,0.000891022,0.000891022,0.000891022
22,635.419,0.99437,0.78082,1.03862,0.92036,0.88357,0.94042,0.66947,1.01125,0.72158,1.08484,0.000880023,0.000880023,0.000880023
23,668.581,0.97678,0.77271,1.02169,0.84121,0.86134,0.9229,0.67051,1.00736,0.7091,1.08003,0.000869024,0.000869024,0.000869024
24,699.351,0.96262,0.74098,1.00808,0.95033,0.87199,0.94928,0.68753,0.97773,0.75057,1.07379,0.000858025,0.000858025,0.000858025
25,726.331,0.94803,0.73737,1.00416,0.89915,0.90552,0.94676,0.68723,1.00943,0.7394,1.09777,0.000847026,0.000847026,0.000847026
26,752.545,0.97871,0.75052,1.02003,0.89707,0.92074,0.95985,0.70717,0.96308,0.76061,1.07572,0.000836027,0.000836027,0.000836027
27,779.929,0.93606,0.70957,0.98848,0.93971,0.88355,0.95578,0.67835,0.97575,0.69773,1.07993,0.000825029,0.000825029,0.000825029
28,807.791,0.95827,0.72683,1.0132,0.91693,0.90859,0.9572,0.71524,0.98414,0.80918,1.09404,0.00081403,0.00081403,0.00081403
29,839.3,0.91498,0.69703,0.98792,0.92492,0.94429,0.97439,0.73858,0.96728,0.6558,1.0677,0.000803031,0.000803031,0.000803031
30,867.643,0.91833,0.67664,0.99255,0.92824,0.88275,0.96306,0.74042,0.92124,0.74556,1.06239,0.000792032,0.000792032,0.000792032
31,894.839,0.92895,0.68676,0.99822,0.90444,0.89336,0.96292,0.71187,0.91738,0.69227,1.04124,0.000781033,0.000781033,0.000781033
