                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6914,                 14.797,                 2.4263,                      0,                      0,                      0,                      0,                 1.4061,                 4.8579,                 1.3737,               0.000225,               0.000225,               0.000225
                      2,                 1.6259,                 10.119,                 1.3967,                0.00039,                   0.25,                0.06598,                 0.0318,                 1.3894,                 4.5339,                 1.1685,             0.00045334,             0.00045334,             0.00045334
                      3,                 1.5104,                 9.2098,                 1.1607,                0.01805,                0.59524,                0.17007,                0.10322,                 1.4693,                 4.4965,                 1.1472,             0.00067228,             0.00067228,             0.00067228
                      4,                 1.4264,                 8.6322,                 1.2156,                0.00394,                0.72727,                0.18197,                0.09627,                 1.4777,                 4.2571,                 1.2639,             0.00088181,             0.00088181,             0.00088181
                      5,                 1.4502,                  8.532,                 1.2116,                      1,                0.04366,                0.22143,                0.11927,                 1.3598,                 3.8029,                 1.2056,              0.0010819,              0.0010819,              0.0010819
                      6,                 1.3513,                 8.2947,                 1.1631,                0.77605,                 0.2987,                0.32708,                0.21087,                 1.2253,                 3.6163,                 1.1139,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.2109,                 7.8841,                 1.0395,                0.69434,                0.34941,                0.43884,                0.28911,                  1.363,                 3.4592,                 1.2253,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.2405,                 7.2318,                 1.1263,                0.92128,                0.35294,                0.48019,                0.29898,                 1.3947,                 3.3049,                 1.2736,              0.0010768,              0.0010768,              0.0010768
                      9,                  1.157,                  7.701,                 1.0442,                 0.6365,                0.49791,                0.56571,                0.38007,                 1.3602,                 2.7317,                 1.3146,               0.001052,               0.001052,               0.001052
                     10,                 1.2422,                  7.322,                 1.1149,                0.73449,                0.49676,                0.49914,                0.32591,                 1.3329,                 2.6387,                 1.2439,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.1506,                 6.4546,                 1.0292,                0.76568,                0.52385,                0.59571,                0.38685,                 1.2843,                 2.3897,                 1.2397,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.1902,                 6.1483,                 1.1076,                0.77294,                0.52489,                0.58916,                 0.3654,                 1.2399,                 1.9852,                 1.1964,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.1141,                 5.8146,                 1.0351,                0.75924,                 0.5119,                0.60411,                0.38076,                 1.3202,                 1.8873,                 1.2028,               0.000953,               0.000953,               0.000953
                     14,                 1.1369,                 5.6479,                 1.1198,                 0.7957,                0.52489,                0.58542,                0.38331,                 1.3169,                 1.7089,                 1.2434,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.1559,                  4.889,                 1.0843,                0.84406,                0.47546,                0.56389,                0.38826,                 1.2479,                 1.7049,                 1.1655,              0.0009035,              0.0009035,              0.0009035
                     16,                 1.0827,                 5.3572,                 1.0295,                0.75505,                0.52866,                0.58503,                0.38037,                 1.1897,                  1.755,                 1.1584,             0.00087875,             0.00087875,             0.00087875
                     17,                 1.1365,                 5.3478,                 1.0379,                0.99194,                0.56564,                0.70721,                0.48237,                 1.1624,                 1.1614,                   1.14,               0.000854,               0.000854,               0.000854
                     18,                 1.0395,                 3.9907,                 1.0585,                0.88587,                0.54762,                0.66766,                0.46043,                 1.0687,                 1.1531,                  1.094,             0.00082925,             0.00082925,             0.00082925
                     19,                 1.0169,                 3.9136,                0.99178,                0.94246,                0.52489,                0.66083,                0.43693,                  1.116,                  1.198,                 1.0807,              0.0008045,              0.0008045,              0.0008045
                     20,                 1.0216,                  3.472,                0.99479,                0.58655,                0.72504,                0.69548,                0.48037,                 1.0253,                 1.0403,                 1.0673,             0.00077975,             0.00077975,             0.00077975
                     21,                 1.0867,                 4.2005,                  1.029,                0.56799,                 0.7521,                0.71066,                 0.5123,                0.95611,                 1.0231,                  1.049,               0.000755,               0.000755,               0.000755
                     22,                 0.9429,                 3.6165,                 0.9931,                0.57932,                0.74082,                0.70962,                0.52458,                 1.0022,                 1.0796,                 1.0517,             0.00073025,             0.00073025,             0.00073025
                     23,                0.93657,                 3.5101,                0.96297,                0.75781,                0.75595,                0.76313,                0.53714,                 1.0198,                0.98046,                 1.0334,              0.0007055,              0.0007055,              0.0007055
                     24,                0.92381,                 3.4987,                0.95239,                0.52972,                0.75087,                0.75698,                0.49802,                 1.0489,                0.95387,                 1.0626,             0.00068075,             0.00068075,             0.00068075
                     25,                 1.0155,                 3.0311,                 1.0688,                0.65677,                0.58002,                0.67786,                 0.4792,                 1.0781,                 1.1259,                 1.0944,               0.000656,               0.000656,               0.000656
                     26,                0.93147,                 3.3032,                0.93355,                0.95624,                0.58929,                0.69177,                0.49407,                0.98687,                0.90152,                 1.0391,             0.00063125,             0.00063125,             0.00063125
                     27,                0.97759,                 3.2465,                0.95766,                0.58734,                0.78738,                0.70266,                0.53021,                0.92845,                0.82186,                 1.0261,              0.0006065,              0.0006065,              0.0006065
                     28,                0.87864,                 3.0372,                0.92296,                0.56752,                0.79762,                0.67893,                0.51266,                0.92194,                0.90319,                 1.0263,             0.00058175,             0.00058175,             0.00058175
                     29,                0.91494,                 2.5897,                0.96645,                0.48966,                0.74991,                0.65951,                0.47141,                0.91199,                0.90547,                 1.0439,               0.000557,               0.000557,               0.000557
                     30,                0.86061,                 2.6473,                0.90818,                0.80394,                0.63095,                0.64476,                0.47775,                0.89696,                0.88316,                 1.0376,             0.00053225,             0.00053225,             0.00053225
                     31,                0.87938,                 2.5853,                0.97307,                0.58599,                0.75595,                 0.7591,                0.56347,                0.94573,                0.83073,                  1.044,              0.0005075,              0.0005075,              0.0005075
                     32,                0.83877,                 2.4277,                0.88584,                0.69718,                0.73393,                0.72299,                0.55224,                0.91111,                0.80447,                 1.0394,             0.00048275,             0.00048275,             0.00048275
                     33,                 0.9243,                 2.8361,                0.92011,                0.87202,                0.72429,                0.80599,                0.60665,                 1.0141,                0.82367,                 1.0616,               0.000458,               0.000458,               0.000458
                     34,                0.83914,                  2.233,                 0.9289,                0.86546,                0.70446,                0.81368,                0.60219,                 1.0056,                 0.8035,                 1.0435,             0.00043325,             0.00043325,             0.00043325
                     35,                0.73607,                  2.174,                0.88392,                0.93203,                 0.7106,                0.85596,                0.63877,                0.89666,                0.75252,                 1.0167,              0.0004085,              0.0004085,              0.0004085
                     36,                0.70499,                 2.1949,                0.87879,                0.90333,                0.69959,                0.85231,                0.61652,                0.87621,                0.73412,                 1.0056,             0.00038375,             0.00038375,             0.00038375
                     37,                0.76525,                 2.0045,                0.89824,                0.82564,                0.74938,                 0.8423,                0.65201,                 0.8488,                0.71892,                0.99544,               0.000359,               0.000359,               0.000359
                     38,                 0.7067,                 2.2876,                0.87324,                0.81414,                0.75958,                0.85556,                0.65733,                0.83946,                0.70801,                0.99287,             0.00033425,             0.00033425,             0.00033425
                     39,                0.72766,                 2.3292,                0.84291,                0.96226,                0.71531,                0.86037,                0.64955,                0.86692,                0.65362,                 1.0031,              0.0003095,              0.0003095,              0.0003095
                     40,                 0.7729,                 2.2487,                0.86543,                0.97248,                0.71453,                0.86422,                0.63682,                  0.908,                 0.6551,                 1.0247,             0.00028475,             0.00028475,             0.00028475
                     41,                0.71985,                 2.0367,                0.84505,                0.93993,                0.73917,                0.82952,                0.61891,                0.86462,                0.63733,                 1.0094,                0.00026,                0.00026,                0.00026
                     42,                0.72318,                 1.9949,                0.87083,                0.94724,                0.73915,                0.81932,                0.60976,                0.85717,                0.64976,                 1.0093,             0.00023525,             0.00023525,             0.00023525
                     43,                 0.7167,                 2.0811,                0.85271,                0.95357,                0.73368,                0.82936,                0.62244,                0.84829,                  0.676,                 1.0114,              0.0002105,              0.0002105,              0.0002105
                     44,                0.71089,                 1.8211,                0.90977,                 0.8074,                0.85756,                0.87911,                0.64857,                0.89981,                0.70755,                  1.029,             0.00018575,             0.00018575,             0.00018575
                     45,                0.67426,                 1.9465,                0.84774,                0.82129,                0.86776,                0.88159,                0.65613,                 0.9159,                0.72642,                 1.0322,               0.000161,               0.000161,               0.000161
                     46,                0.72773,                 1.9151,                0.89629,                0.82373,                0.86785,                0.88315,                 0.6497,                0.93986,                0.72005,                 1.0299,             0.00013625,             0.00013625,             0.00013625
                     47,                0.67627,                   1.77,                0.85198,                0.83132,                 0.8736,                0.89386,                0.66216,                0.95487,                0.68197,                 1.0374,              0.0001115,              0.0001115,              0.0001115
                     48,                0.72398,                 1.7886,                0.86955,                0.83043,                0.86826,                0.89409,                0.65216,                0.96097,                0.67242,                 1.0433,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.67372,                 1.7008,                0.88359,                0.86195,                0.89998,                0.89484,                0.64548,                0.95103,                 0.6584,                 1.0341,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.66555,                  1.624,                0.85335,                0.81975,                0.89308,                0.89545,                0.64885,                0.94608,                0.67162,                 1.0326,              3.725e-05,              3.725e-05,              3.725e-05
