epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.857,2.2972,5.66282,1.76967,0.00275,0.52202,0.07787,0.0358,1.62162,4.39241,1.32944,0.000364966,0.000364966,0.000364966
2,48.5602,1.71373,3.67657,1.37069,0.49428,0.26131,0.33183,0.1808,1.43527,2.52367,1.25541,0.00072802,0.00072802,0.00072802
3,64.8521,1.58343,2.87593,1.32998,0.73481,0.53214,0.58852,0.34248,1.35773,1.58683,1.29158,0.00108374,0.00108374,0.00108374
4,81.4847,1.54551,2.49092,1.33482,0.56038,0.60812,0.63547,0.36396,1.37772,1.71174,1.25726,0.001078,0.001078,0.001078
5,97.4045,1.48877,2.07891,1.28138,0.7233,0.68961,0.7405,0.45994,1.29232,1.41354,1.20448,0.001067,0.001067,0.001067
6,115.103,1.39698,1.80147,1.22934,0.81047,0.71691,0.81307,0.50522,1.28767,1.3533,1.22995,0.00105601,0.00105601,0.00105601
7,133.3,1.33663,1.60638,1.19787,0.76722,0.7913,0.84761,0.52376,1.30694,1.21874,1.22961,0.00104501,0.00104501,0.00104501
8,151.252,1.2971,1.45332,1.17578,0.84548,0.67358,0.84628,0.56633,1.12674,1.16941,1.10772,0.00103401,0.00103401,0.00103401
9,167.975,1.26321,1.32246,1.15908,0.89636,0.75447,0.86919,0.55855,1.12649,1.10631,1.12999,0.00102301,0.00102301,0.00102301
10,185.298,1.24176,1.26131,1.14086,0.90789,0.78595,0.87072,0.56548,1.07812,0.99471,1.07628,0.00101201,0.00101201,0.00101201
11,203.505,1.2023,1.16835,1.13357,0.88085,0.78843,0.89203,0.62614,1.05199,1.0098,1.06985,0.00100101,0.00100101,0.00100101
12,220.988,1.2185,1.13671,1.13393,0.80077,0.86708,0.88349,0.60086,1.13176,1.02254,1.12631,0.000990012,0.000990012,0.000990012
13,238.489,1.2176,1.14519,1.13664,0.89647,0.7822,0.92237,0.59289,1.07207,0.96607,1.10671,0.000979013,0.000979013,0.000979013
14,255.874,1.16752,1.07375,1.1125,0.95922,0.76945,0.93187,0.62996,1.08761,0.94396,1.11688,0.000968014,0.000968014,0.000968014
15,273.891,1.16317,1.0501,1.11965,0.91426,0.84491,0.9372,0.653,1.05796,0.89069,1.11659,0.000957015,0.000957015,0.000957015
16,291.394,1.13903,0.98119,1.09412,0.92906,0.80773,0.93327,0.62727,1.0596,0.89269,1.11027,0.000946016,0.000946016,0.000946016
17,309.255,1.16332,0.98542,1.11548,0.85211,0.85449,0.91071,0.5922,1.112,0.92542,1.1278,0.000935018,0.000935018,0.000935018
