second,timestamp_hhmmss,label,class,confidence,bbox,frame
1,00:00:01,Freer,4,0.89882,"[0.590764, 0.458378, 0.140308, 0.178769]",58
2,00:00:02,Freer,4,0.975249,"[0.605922, 0.447808, 0.0931114, 0.218095]",69
3,00:00:03,Freer,4,0.97851,"[0.59532, 0.456171, 0.111308, 0.207844]",116
4,00:00:04,Freer,4,0.93053,"[0.62221, 0.459274, 0.0553548, 0.183823]",141
5,00:00:05,Freer,4,0.939191,"[0.600132, 0.439159, 0.096113, 0.214876]",167
6,00:00:06,Freer,4,0.948847,"[0.61403, 0.425124, 0.0730246, 0.234311]",189
7,00:00:07,Freer,4,0.95918,"[0.599984, 0.422352, 0.105368, 0.241932]",233
8,00:00:08,Freer,4,0.965089,"[0.592368, 0.452917, 0.111199, 0.193287]",261
10,00:00:10,Freer,4,0.949514,"[0.582178, 0.450153, 0.122547, 0.215192]",303
11,00:00:11,Freer,4,0.959313,"[0.591296, 0.455476, 0.125005, 0.18759]",359
12,00:00:12,Freer,4,0.963053,"[0.591045, 0.455637, 0.124542, 0.187324]",360
13,00:00:13,Freer,4,0.933548,"[0.627246, 0.455681, 0.0487606, 0.170848]",417
14,00:00:14,Freer,4,0.900782,"[0.629046, 0.454073, 0.0481255, 0.172405]",420
15,00:00:15,Freer,4,0.931852,"[0.628757, 0.453154, 0.048893, 0.170445]",465
16,00:00:16,Freer,4,0.946942,"[0.598858, 0.441324, 0.0967164, 0.214752]",505
17,00:00:17,Freer,4,0.95025,"[0.592158, 0.446853, 0.106164, 0.192904]",513
18,00:00:18,Freer,4,0.929661,"[0.616678, 0.441082, 0.0647827, 0.207217]",545
19,00:00:19,Freer,4,0.929094,"[0.619269, 0.43878, 0.0618065, 0.219293]",584
20,00:00:20,Freer,4,0.906712,"[0.618205, 0.452819, 0.0645379, 0.205375]",600
21,00:00:21,Freer,4,0.947535,"[0.601632, 0.46684, 0.104107, 0.193815]",641
22,00:00:22,Freer,4,0.913898,"[0.597316, 0.473357, 0.108742, 0.190216]",685
23,00:00:23,Freer,4,0.947256,"[0.605849, 0.467296, 0.0972826, 0.205046]",712
24,00:00:24,Freer,4,0.947048,"[0.602446, 0.468019, 0.102501, 0.204337]",720
25,00:00:25,Freer,4,0.917114,"[0.632709, 0.482809, 0.0492781, 0.174068]",765
26,00:00:26,Freer,4,0.828697,"[0.615444, 0.443559, 0.0732465, 0.252358]",792
27,00:00:27,Freer,4,0.831523,"[0.615134, 0.448938, 0.0753569, 0.254371]",832
28,00:00:28,Freer,4,0.808977,"[0.630824, 0.489249, 0.0513517, 0.179171]",852
29,00:00:29,Freer,4,0.953739,"[0.612451, 0.461045, 0.0870977, 0.223323]",887
32,00:00:32,Frazier,1,0.873118,"[0.584053, 0.487112, 0.114541, 0.152697]",987
33,00:00:33,Frazier,1,0.864732,"[0.590664, 0.468636, 0.108038, 0.184522]",1012
34,00:00:34,Frazier,1,0.86912,"[0.586644, 0.472156, 0.117783, 0.184737]",1022
35,00:00:35,Frazier,1,0.897928,"[0.601187, 0.489181, 0.088221, 0.192181]",1076
36,00:00:36,Frazier,1,0.880103,"[0.609689, 0.46246, 0.0685349, 0.250374]",1084
37,00:00:37,Frazier,1,0.882152,"[0.605899, 0.495926, 0.0892927, 0.18295]",1124
38,00:00:38,Frazier,1,0.932148,"[0.603033, 0.472111, 0.0822887, 0.224027]",1158
39,00:00:39,Frazier,1,0.916624,"[0.618407, 0.48966, 0.0689454, 0.181589]",1199
40,00:00:40,Frazier,1,0.917868,"[0.619469, 0.492038, 0.0666262, 0.17685]",1204
41,00:00:41,Frazier,1,0.927597,"[0.616473, 0.502078, 0.0808458, 0.158435]",1258
42,00:00:42,Frazier,1,0.93026,"[0.622194, 0.493279, 0.0680681, 0.173285]",1267
43,00:00:43,Frazier,1,0.929973,"[0.620631, 0.485463, 0.0710084, 0.190408]",1308
44,00:00:44,Frazier,1,0.891418,"[0.621767, 0.473699, 0.0675082, 0.213088]",1347
45,00:00:45,Frazier,1,0.860046,"[0.627807, 0.477875, 0.0505739, 0.20553]",1351
48,00:00:48,Freer,4,0.978745,"[0.617875, 0.502357, 0.0728531, 0.154848]",1457
49,00:00:49,Freer,4,0.964571,"[0.622801, 0.488434, 0.0649398, 0.17724]",1470
50,00:00:50,Freer,4,0.93078,"[0.647344, 0.488047, 0.032331, 0.182893]",1511
51,00:00:51,Freer,4,0.941855,"[0.648759, 0.488187, 0.0337957, 0.183475]",1557
