frame,timestamp_sec,timestamp_hhmmss,class,confidence,bbox
1,0.03333333333333333,00:00:00.03,3,,"[0.564896, 0.533861, 0.105971, 0.238712]"
2,0.06666666666666667,00:00:00.06,3,,"[0.565566, 0.53261, 0.104771, 0.240651]"
3,0.1,00:00:00.10,3,,"[0.565628, 0.530941, 0.104898, 0.244806]"
4,0.13333333333333333,00:00:00.13,3,,"[0.565442, 0.528864, 0.104688, 0.248015]"
5,0.16666666666666666,00:00:00.16,3,,"[0.56611, 0.529201, 0.103213, 0.247491]"
6,0.2,00:00:00.20,3,,"[0.566165, 0.529166, 0.102806, 0.247682]"
7,0.23333333333333334,00:00:00.23,3,,"[0.565767, 0.529898, 0.102561, 0.24896]"
8,0.26666666666666666,00:00:00.26,3,,"[0.566987, 0.528635, 0.102958, 0.250005]"
9,0.3,00:00:00.30,3,,"[0.566628, 0.53001, 0.104526, 0.250159]"
10,0.3333333333333333,00:00:00.33,3,,"[0.56657, 0.529331, 0.105271, 0.25179]"
11,0.36666666666666664,00:00:00.36,3,,"[0.567046, 0.528096, 0.104381, 0.252215]"
12,0.4,00:00:00.40,3,,"[0.567027, 0.528596, 0.103688, 0.25139]"
13,0.43333333333333335,00:00:00.43,3,,"[0.567583, 0.528991, 0.102408, 0.251532]"
14,0.4666666666666667,00:00:00.46,3,,"[0.568019, 0.533028, 0.102517, 0.243406]"
15,0.5,00:00:00.50,3,,"[0.567695, 0.532933, 0.103258, 0.243991]"
16,0.5333333333333333,00:00:00.53,3,,"[0.567622, 0.532848, 0.103604, 0.244972]"
17,0.5666666666666667,00:00:00.56,3,,"[0.567673, 0.532704, 0.103255, 0.245154]"
18,0.6,00:00:00.60,3,,"[0.567893, 0.533067, 0.103521, 0.244211]"
19,0.6333333333333333,00:00:00.63,3,,"[0.568438, 0.534971, 0.102034, 0.240282]"
20,0.6666666666666666,00:00:00.66,3,,"[0.568829, 0.535766, 0.101676, 0.239076]"
21,0.7,00:00:00.70,3,,"[0.569058, 0.533629, 0.101149, 0.243249]"
22,0.7333333333333333,00:00:00.73,3,,"[0.569049, 0.532953, 0.101088, 0.244675]"
23,0.7666666666666667,00:00:00.76,3,,"[0.569084, 0.533243, 0.101267, 0.24409]"
24,0.8,00:00:00.80,3,,"[0.56887, 0.532341, 0.101646, 0.245982]"
25,0.8333333333333334,00:00:00.83,3,,"[0.568873, 0.532938, 0.101717, 0.244989]"
26,0.8666666666666667,00:00:00.86,3,,"[0.569174, 0.533138, 0.101075, 0.24392]"
27,0.9,00:00:00.90,3,,"[0.568838, 0.532686, 0.101393, 0.244576]"
28,0.9333333333333333,00:00:00.93,3,,"[0.568602, 0.53415, 0.102147, 0.24171]"
29,0.9666666666666667,00:00:00.96,3,,"[0.567842, 0.534817, 0.103064, 0.240299]"
30,1.0,00:00:01.00,3,,"[0.568424, 0.533596, 0.101657, 0.242839]"
31,1.0333333333333334,00:00:01.03,3,,"[0.568296, 0.535029, 0.102031, 0.240074]"
32,1.0666666666666667,00:00:01.06,3,,"[0.566997, 0.53452, 0.103407, 0.242087]"
33,1.1,00:00:01.10,3,,"[0.567307, 0.537777, 0.103923, 0.236133]"
34,1.1333333333333333,00:00:01.13,3,,"[0.566952, 0.53892, 0.105604, 0.234331]"
35,1.1666666666666667,00:00:01.16,3,,"[0.56618, 0.538684, 0.106589, 0.234732]"
36,1.2,00:00:01.19,3,,"[0.565963, 0.541253, 0.10782, 0.229921]"
37,1.2333333333333334,00:00:01.23,3,,"[0.56604, 0.542127, 0.107042, 0.22837]"
38,1.2666666666666666,00:00:01.26,3,,"[0.565816, 0.541234, 0.107314, 0.230125]"
39,1.3,00:00:01.30,3,,"[0.565217, 0.539889, 0.108501, 0.233501]"
40,1.3333333333333333,00:00:01.33,3,,"[0.564734, 0.539349, 0.108835, 0.234483]"
41,1.3666666666666667,00:00:01.36,3,,"[0.564696, 0.539125, 0.108533, 0.234944]"
42,1.4,00:00:01.39,3,,"[0.564955, 0.53896, 0.10721, 0.23547]"
43,1.4333333333333333,00:00:01.43,3,,"[0.564774, 0.537833, 0.10595, 0.237213]"
44,1.4666666666666666,00:00:01.46,3,,"[0.564801, 0.538714, 0.105746, 0.235123]"
45,1.5,00:00:01.50,3,,"[0.564655, 0.53803, 0.106009, 0.236083]"
46,1.5333333333333334,00:00:01.53,3,,"[0.564942, 0.538542, 0.106751, 0.235326]"
47,1.5666666666666667,00:00:01.56,3,,"[0.565085, 0.538687, 0.106497, 0.234927]"
48,1.6,00:00:01.60,3,,"[0.56521, 0.538517, 0.106232, 0.235491]"
49,1.6333333333333333,00:00:01.63,3,,"[0.564929, 0.538986, 0.105743, 0.234158]"
50,1.6666666666666667,00:00:01.66,3,,"[0.565097, 0.540171, 0.105342, 0.230942]"
51,1.7,00:00:01.70,3,,"[0.565219, 0.540177, 0.105629, 0.230809]"
52,1.7333333333333334,00:00:01.73,3,,"[0.565, 0.538512, 0.105914, 0.234015]"
53,1.7666666666666666,00:00:01.76,3,,"[0.564784, 0.538616, 0.106217, 0.233511]"
54,1.8,00:00:01.80,3,,"[0.564674, 0.537561, 0.106732, 0.235822]"
55,1.8333333333333333,00:00:01.83,3,,"[0.564584, 0.537205, 0.107189, 0.236762]"
56,1.8666666666666667,00:00:01.86,3,,"[0.56489, 0.537448, 0.106754, 0.236242]"
57,1.9,00:00:01.89,3,,"[0.564948, 0.537323, 0.10657, 0.236645]"
58,1.9333333333333333,00:00:01.93,3,,"[0.564897, 0.537557, 0.106459, 0.236041]"
59,1.9666666666666666,00:00:01.96,3,,"[0.564917, 0.537495, 0.106321, 0.236169]"
60,2.0,00:00:02.00,3,,"[0.564863, 0.537368, 0.106602, 0.236465]"
61,2.033333333333333,00:00:02.03,3,,"[0.564862, 0.537312, 0.106596, 0.236731]"
62,2.066666666666667,00:00:02.06,3,,"[0.56479, 0.537308, 0.106499, 0.23657]"
63,2.1,00:00:02.10,3,,"[0.564903, 0.537339, 0.106673, 0.236788]"
64,2.1333333333333333,00:00:02.13,3,,"[0.564767, 0.537279, 0.106489, 0.236876]"
65,2.1666666666666665,00:00:02.16,3,,"[0.564802, 0.537776, 0.106334, 0.236139]"
66,2.2,00:00:02.20,3,,"[0.56479, 0.537766, 0.106334, 0.236341]"
67,2.2333333333333334,00:00:02.23,3,,"[0.564693, 0.537963, 0.106301, 0.236021]"
68,2.2666666666666666,00:00:02.26,3,,"[0.564765, 0.538089, 0.106223, 0.235775]"
69,2.3,00:00:02.29,3,,"[0.564917, 0.538152, 0.106344, 0.235812]"
70,2.3333333333333335,00:00:02.33,3,,"[0.56473, 0.538262, 0.106336, 0.235357]"
71,2.3666666666666667,00:00:02.36,3,,"[0.564863, 0.538169, 0.106276, 0.235681]"
72,2.4,00:00:02.39,3,,"[0.564888, 0.538202, 0.106358, 0.235435]"
73,2.433333333333333,00:00:02.43,3,,"[0.564932, 0.538453, 0.106831, 0.235047]"
74,2.466666666666667,00:00:02.46,3,,"[0.564944, 0.538392, 0.106654, 0.234979]"
75,2.5,00:00:02.50,3,,"[0.565027, 0.538944, 0.106372, 0.234203]"
76,2.533333333333333,00:00:02.53,3,,"[0.564864, 0.538745, 0.106092, 0.234382]"
77,2.566666666666667,00:00:02.56,3,,"[0.564801, 0.538931, 0.105955, 0.233658]"
78,2.6,00:00:02.60,3,,"[0.564801, 0.538472, 0.105902, 0.234748]"
79,2.6333333333333333,00:00:02.63,3,,"[0.564729, 0.538642, 0.105486, 0.234234]"
80,2.6666666666666665,00:00:02.66,3,,"[0.564885, 0.539081, 0.105666, 0.233481]"
81,2.7,00:00:02.70,3,,"[0.564873, 0.539346, 0.105669, 0.232732]"
82,2.7333333333333334,00:00:02.73,3,,"[0.564855, 0.539454, 0.105605, 0.232452]"
83,2.7666666666666666,00:00:02.76,3,,"[0.564713, 0.539371, 0.105312, 0.232156]"
84,2.8,00:00:02.79,3,,"[0.564736, 0.539277, 0.105351, 0.232472]"
85,2.8333333333333335,00:00:02.83,3,,"[0.564897, 0.538857, 0.105563, 0.233785]"
86,2.8666666666666667,00:00:02.86,3,,"[0.564795, 0.539042, 0.105401, 0.233389]"
87,2.9,00:00:02.89,3,,"[0.56482, 0.539106, 0.105559, 0.23335]"
88,2.933333333333333,00:00:02.93,3,,"[0.564664, 0.539207, 0.105094, 0.232903]"
89,2.966666666666667,00:00:02.96,3,,"[0.564794, 0.539336, 0.105432, 0.232677]"
90,3.0,00:00:03.00,3,,"[0.564661, 0.539426, 0.105077, 0.232433]"
91,3.033333333333333,00:00:03.03,3,,"[0.564777, 0.539533, 0.105815, 0.232375]"
92,3.066666666666667,00:00:03.06,3,,"[0.564815, 0.539438, 0.106332, 0.232925]"
93,3.1,00:00:03.10,3,,"[0.564792, 0.53897, 0.106579, 0.233576]"
94,3.1333333333333333,00:00:03.13,3,,"[0.564751, 0.539044, 0.106508, 0.233593]"
95,3.1666666666666665,00:00:03.16,3,,"[0.564767, 0.53912, 0.10643, 0.233051]"
96,3.2,00:00:03.20,3,,"[0.564721, 0.538828, 0.106492, 0.233637]"
97,3.2333333333333334,00:00:03.23,3,,"[0.564722, 0.539132, 0.106771, 0.23317]"
98,3.2666666666666666,00:00:03.26,3,,"[0.564702, 0.53958, 0.106519, 0.232121]"
99,3.3,00:00:03.29,3,,"[0.564777, 0.53927, 0.106456, 0.232699]"
100,3.3333333333333335,00:00:03.33,3,,"[0.564782, 0.539496, 0.106185, 0.232419]"
101,3.3666666666666667,00:00:03.36,3,,"[0.564635, 0.539397, 0.106181, 0.232589]"
102,3.4,00:00:03.39,3,,"[0.564792, 0.539717, 0.105742, 0.231871]"
103,3.433333333333333,00:00:03.43,3,,"[0.564693, 0.539843, 0.10594, 0.23178]"
104,3.466666666666667,00:00:03.46,3,,"[0.564643, 0.539431, 0.105894, 0.232387]"
105,3.5,00:00:03.50,3,,"[0.564694, 0.539757, 0.105649, 0.231557]"
106,3.533333333333333,00:00:03.53,3,,"[0.564434, 0.538778, 0.105662, 0.233144]"
107,3.566666666666667,00:00:03.56,3,,"[0.564303, 0.538544, 0.105978, 0.233319]"
108,3.6,00:00:03.60,3,,"[0.563982, 0.538095, 0.10678, 0.233689]"
109,3.6333333333333333,00:00:03.63,3,,"[0.563862, 0.537782, 0.106875, 0.233867]"
110,3.6666666666666665,00:00:03.66,3,,"[0.563552, 0.537936, 0.107992, 0.233766]"
111,3.7,00:00:03.70,3,,"[0.563204, 0.53869, 0.109625, 0.232515]"
112,3.7333333333333334,00:00:03.73,3,,"[0.562645, 0.539346, 0.111316, 0.23087]"
113,3.7666666666666666,00:00:03.76,3,,"[0.562695, 0.539998, 0.110251, 0.229032]"
114,3.8,00:00:03.79,3,,"[0.561929, 0.541022, 0.110853, 0.226908]"
115,3.8333333333333335,00:00:03.83,3,,"[0.561445, 0.541098, 0.111337, 0.227211]"
116,3.8666666666666667,00:00:03.86,3,,"[0.561078, 0.54233, 0.112321, 0.225083]"
117,3.9,00:00:03.89,3,,"[0.560639, 0.540639, 0.115461, 0.226396]"
118,3.933333333333333,00:00:03.93,3,,"[0.560029, 0.541579, 0.117333, 0.225532]"
119,3.966666666666667,00:00:03.96,3,,"[0.559122, 0.543065, 0.119015, 0.222397]"
120,4.0,00:00:04.00,3,,"[0.558553, 0.542783, 0.120434, 0.222581]"
121,4.033333333333333,00:00:04.03,3,,"[0.557829, 0.54522, 0.121513, 0.219607]"
122,4.066666666666666,00:00:04.06,3,,"[0.557031, 0.539444, 0.123606, 0.227803]"
123,4.1,00:00:04.09,3,,"[0.556742, 0.540307, 0.123922, 0.225808]"
124,4.133333333333334,00:00:04.13,3,,"[0.556523, 0.541107, 0.124303, 0.224237]"
125,4.166666666666667,00:00:04.16,3,,"[0.556612, 0.543063, 0.123851, 0.220554]"
126,4.2,00:00:04.20,3,,"[0.556686, 0.544847, 0.124136, 0.218408]"
127,4.233333333333333,00:00:04.23,3,,"[0.556635, 0.546579, 0.124262, 0.216781]"
128,4.266666666666667,00:00:04.26,3,,"[0.557195, 0.550635, 0.124776, 0.210413]"
129,4.3,00:00:04.29,3,,"[0.556305, 0.552838, 0.127595, 0.206364]"
130,4.333333333333333,00:00:04.33,3,,"[0.557029, 0.556705, 0.125765, 0.196984]"
131,4.366666666666666,00:00:04.36,3,,"[0.556386, 0.557756, 0.126767, 0.195818]"
132,4.4,00:00:04.40,3,,"[0.555956, 0.559086, 0.128448, 0.193431]"
133,4.433333333333334,00:00:04.43,3,,"[0.555742, 0.559859, 0.128208, 0.191827]"
134,4.466666666666667,00:00:04.46,3,,"[0.555827, 0.559818, 0.128486, 0.191729]"
135,4.5,00:00:04.50,3,,"[0.555862, 0.559588, 0.127254, 0.191498]"
136,4.533333333333333,00:00:04.53,3,,"[0.555903, 0.558772, 0.127559, 0.193382]"
137,4.566666666666666,00:00:04.56,3,,"[0.556088, 0.557618, 0.125735, 0.195547]"
138,4.6,00:00:04.59,3,,"[0.558763, 0.5528, 0.123445, 0.207517]"
139,4.633333333333334,00:00:04.63,3,,"[0.558209, 0.549188, 0.121527, 0.214008]"
140,4.666666666666667,00:00:04.66,3,,"[0.558216, 0.546425, 0.121248, 0.219351]"
141,4.7,00:00:04.70,3,,"[0.557392, 0.542884, 0.121194, 0.223091]"
142,4.733333333333333,00:00:04.73,3,,"[0.558214, 0.541349, 0.11982, 0.225651]"
143,4.766666666666667,00:00:04.76,3,,"[0.560698, 0.543763, 0.114693, 0.221403]"
144,4.8,00:00:04.79,3,,"[0.560292, 0.543539, 0.114717, 0.221216]"
145,4.833333333333333,00:00:04.83,3,,"[0.561219, 0.54285, 0.112609, 0.221775]"
146,4.866666666666666,00:00:04.86,3,,"[0.561207, 0.539699, 0.11289, 0.227709]"
147,4.9,00:00:04.90,3,,"[0.561867, 0.539835, 0.111283, 0.226863]"
148,4.933333333333334,00:00:04.93,3,,"[0.561463, 0.538069, 0.111005, 0.230121]"
149,4.966666666666667,00:00:04.96,3,,"[0.562457, 0.539369, 0.110707, 0.228432]"
150,5.0,00:00:05.00,3,,"[0.562698, 0.540214, 0.110365, 0.225765]"
151,5.033333333333333,00:00:05.03,3,,"[0.563248, 0.54085, 0.109296, 0.22523]"
152,5.066666666666666,00:00:05.06,3,,"[0.562193, 0.539929, 0.11124, 0.227101]"
153,5.1,00:00:05.09,3,,"[0.561391, 0.541129, 0.111282, 0.22335]"
